Starting Impala Shell without Kerberos authentication
Opened TCP connection to test4:21000
Connected to test4:21000
Server version: impalad version 3.2.0-cdh6.3.2 RELEASE (build 1bb9836227301b839a32c6bc230e35439d5984ac)
Query: use tpc_test
Query: with ws as
(select d_year AS ws_sold_year, ws_item_sk,
ws_bill_customer_sk ws_customer_sk,
sum(ws_quantity) ws_qty,
sum(ws_wholesale_cost) ws_wc,
sum(ws_sales_price) ws_sp
from web_sales
left join web_returns on wr_order_number=ws_order_number and ws_item_sk=wr_item_sk
join date_dim on ws_sold_date_sk = d_date_sk
where wr_order_number is null
group by d_year, ws_item_sk, ws_bill_customer_sk
),
cs as
(select d_year AS cs_sold_year, cs_item_sk,
cs_bill_customer_sk cs_customer_sk,
sum(cs_quantity) cs_qty,
sum(cs_wholesale_cost) cs_wc,
sum(cs_sales_price) cs_sp
from catalog_sales
left join catalog_returns on cr_order_number=cs_order_number and cs_item_sk=cr_item_sk
join date_dim on cs_sold_date_sk = d_date_sk
where cr_order_number is null
group by d_year, cs_item_sk, cs_bill_customer_sk
),
ss as
(select d_year AS ss_sold_year, ss_item_sk,
ss_customer_sk,
sum(ss_quantity) ss_qty,
sum(ss_wholesale_cost) ss_wc,
sum(ss_sales_price) ss_sp
from store_sales
left join store_returns on sr_ticket_number=ss_ticket_number and ss_item_sk=sr_item_sk
join date_dim on ss_sold_date_sk = d_date_sk
where sr_ticket_number is null
group by d_year, ss_item_sk, ss_customer_sk
)
select
ss_customer_sk,
round(ss_qty/(coalesce(ws_qty,0)+coalesce(cs_qty,0)),2) ratio,
ss_qty store_qty, ss_wc store_wholesale_cost, ss_sp store_sales_price,
coalesce(ws_qty,0)+coalesce(cs_qty,0) other_chan_qty,
coalesce(ws_wc,0)+coalesce(cs_wc,0) other_chan_wholesale_cost,
coalesce(ws_sp,0)+coalesce(cs_sp,0) other_chan_sales_price
from ss
left join ws on (ws_sold_year=ss_sold_year and ws_item_sk=ss_item_sk and ws_customer_sk=ss_customer_sk)
left join cs on (cs_sold_year=ss_sold_year and cs_item_sk=ss_item_sk and cs_customer_sk=ss_customer_sk)
where (coalesce(ws_qty,0)>0 or coalesce(cs_qty, 0)>0) and ss_sold_year=2001
order by
ss_customer_sk,
ss_qty desc, ss_wc desc, ss_sp desc,
other_chan_qty,
other_chan_wholesale_cost,
other_chan_sales_price,
ratio
limit 100
Query submitted at: 2020-06-10 02:22:24 (Coordinator: http://test4:25000)
Query progress can be monitored at: http://test4:25000/query_plan?query_id=5840ef8e386eb9da:6df53a6400000000
+----------------+--------------------+-----------+----------------------+-------------------+----------------+---------------------------+------------------------+
| ss_customer_sk | ratio              | store_qty | store_wholesale_cost | store_sales_price | other_chan_qty | other_chan_wholesale_cost | other_chan_sales_price |
| 26511          | 7.43               | 52        | 80.66                | 122.74            | 7              | 7.64                      | 14.72                  |
| 28636          | 9.4                | 47        | 62.59                | 25.84             | 5              | 5.99                      | 0.43                   |
| 28718          | 1                  | 18        | 67.41                | 78.98             | 18             | 27.10                     | 7.46                   |
| 28743          | 4.14               | 58        | 60.89                | 19.94             | 14             | 38.85                     | 9.82                   |
| 29192          | 0.33               | 27        | 96.05                | 33.50             | 81             | 41.74                     | 13.72                  |
| 29779          | 1.07               | 49        | 47.60                | 13.93             | 46             | 69.82                     | 50.14                  |
| 29852          | 0.14               | 13        | 99.24                | 1.51              | 90             | 28.86                     | 12.61                  |
| 30113          | 0.4                | 10        | 18.01                | 0.00              | 25             | 19.40                     | 7.21                   |
| 30522          | 0.84               | 81        | 20.37                | 11.98             | 97             | 18.26                     | 27.58                  |
| 30649          | 0.37               | 29        | 18.08                | 13.31             | 79             | 58.12                     | 10.20                  |
| 30746          | 0.89               | 32        | 40.71                | 5.34              | 36             | 28.28                     | 28.29                  |
| 31695          | 6.67               | 40        | 48.98                | 11.72             | 6              | 62.33                     | 145.48                 |
| 31868          | 2.09               | 67        | 66.79                | 54.64             | 32             | 75.13                     | 33.26                  |
| 32572          | 0.54               | 48        | 82.29                | 15.63             | 89             | 11.72                     | 27.63                  |
| 33698          | 0.74               | 56        | 2.63                 | 2.47              | 76             | 55.62                     | 31.57                  |
| 34637          | 0.13               | 4         | 13.45                | 15.84             | 30             | 33.09                     | 33.58                  |
| 34843          | 21                 | 21        | 92.20                | 101.06            | 1              | 57.84                     | 40.05                  |
| 35487          | 0.14               | 4         | 56.23                | 31.28             | 28             | 58.97                     | 55.34                  |
| 35537          | 1.4                | 60        | 90.29                | 57.39             | 43             | 79.24                     | 207.88                 |
| 36179          | 1.42               | 61        | 74.72                | 94.68             | 43             | 32.78                     | 76.60                  |
| 36905          | 0.33               | 29        | 60.60                | 61.42             | 88             | 51.15                     | 20.58                  |
| 37826          | 0.5600000000000001 | 19        | 33.53                | 51.59             | 34             | 29.46                     | 6.36                   |
| 38356          | 12                 | 60        | 85.12                | 19.82             | 5              | 88.85                     | 83.37                  |
| 38652          | 0.13               | 13        | 39.35                | 11.80             | 100            | 36.14                     | 23.01                  |
| 38668          | 1.54               | 83        | 82.14                | 68.30             | 54             | 44.04                     | 68.16                  |
| 38875          | 0.8                | 33        | 70.91                | 111.59            | 41             | 91.78                     | 160.09                 |
| 39082          | 5.8                | 87        | 71.32                | 56.73             | 15             | 1.66                      | 1.51                   |
| 39322          | 1.45               | 61        | 44.76                | 11.05             | 42             | 1.29                      | 0.00                   |
| 40837          | 2.63               | 100       | 58.74                | 52.72             | 38             | 82.29                     | 84.49                  |
| 40907          | 3.79               | 91        | 33.85                | 37.34             | 24             | 92.53                     | 209.16                 |
| 41474          | 6                  | 78        | 70.58                | 72.41             | 13             | 15.25                     | 22.93                  |
| 47436          | 0.17               | 3         | 22.20                | 6.64              | 18             | 78.66                     | 228.11                 |
| 48202          | 0.01               | 1         | 64.05                | 80.74             | 81             | 85.56                     | 54.25                  |
| 48525          | 0.33               | 12        | 97.86                | 84.54             | 36             | 8.51                      | 8.04                   |
| 48606          | 0.85               | 66        | 84.42                | 70.73             | 78             | 10.44                     | 11.03                  |
| 48713          | 0.61               | 17        | 51.26                | 50.10             | 28             | 93.64                     | 117.79                 |
| 48818          | 2.23               | 87        | 45.23                | 7.34              | 39             | 2.74                      | 5.78                   |
| 49027          | 1.47               | 50        | 59.72                | 42.35             | 34             | 57.24                     | 48.21                  |
| 49301          | 7.75               | 93        | 91.50                | 73.96             | 12             | 64.80                     | 57.64                  |
| 50574          | 0.8                | 61        | 65.23                | 52.96             | 76             | 57.65                     | 21.44                  |
| 51602          | 0.87               | 86        | 69.75                | 93.79             | 99             | 43.27                     | 64.96                  |
| 53909          | 18.25              | 73        | 26.45                | 26.23             | 4              | 77.01                     | 31.88                  |
| 54463          | 0.44               | 40        | 87.94                | 87.92             | 90             | 83.62                     | 124.81                 |
| 55264          | 0.63               | 22        | 7.48                 | 2.62              | 35             | 62.72                     | 82.25                  |
| 55736          | 1.94               | 95        | 40.15                | 16.06             | 49             | 58.52                     | 134.68                 |
| 57282          | 0.9                | 65        | 89.26                | 120.49            | 72             | 53.35                     | 77.81                  |
| 57791          | 0.27               | 21        | 17.10                | 16.31             | 77             | 81.90                     | 133.64                 |
| 57932          | 0.61               | 57        | 36.89                | 36.44             | 94             | 52.80                     | 40.86                  |
| 58004          | 1.17               | 77        | 16.66                | 4.45              | 66             | 33.84                     | 20.58                  |
+----------------+--------------------+-----------+----------------------+-------------------+----------------+---------------------------+------------------------+
Fetched 100 row(s) in 1.11s
