Starting Impala Shell without Kerberos authentication
Opened TCP connection to test4:21000
Connected to test4:21000
Server version: impalad version 3.2.0-cdh6.3.2 RELEASE (build 1bb9836227301b839a32c6bc230e35439d5984ac)
Query: use tpc_test
Query: with inv as
(select w_warehouse_name,w_warehouse_sk,i_item_sk,d_moy
,stdev,mean, case mean when 0 then null else stdev/mean end cov
from(select w_warehouse_name,w_warehouse_sk,i_item_sk,d_moy
,stddev_samp(inv_quantity_on_hand) stdev,avg(inv_quantity_on_hand) mean
from inventory
,item
,warehouse
,date_dim
where inv_item_sk = i_item_sk
and inv_warehouse_sk = w_warehouse_sk
and inv_date_sk = d_date_sk
and d_year =2001
group by w_warehouse_name,w_warehouse_sk,i_item_sk,d_moy) foo
where case mean when 0 then 0 else stdev/mean end > 1)
select inv1.w_warehouse_sk,inv1.i_item_sk,inv1.d_moy,inv1.mean, inv1.cov
,inv2.w_warehouse_sk,inv2.i_item_sk,inv2.d_moy,inv2.mean, inv2.cov
from inv inv1,inv inv2
where inv1.i_item_sk = inv2.i_item_sk
and inv1.w_warehouse_sk =  inv2.w_warehouse_sk
and inv1.d_moy=1
and inv2.d_moy=1+1
order by inv1.w_warehouse_sk,inv1.i_item_sk,inv1.d_moy,inv1.mean,inv1.cov
,inv2.d_moy,inv2.mean, inv2.cov
Query submitted at: 2020-06-10 02:21:48 (Coordinator: http://test4:25000)
Query progress can be monitored at: http://test4:25000/query_plan?query_id=284cee1a0c74269a:c6ce94e100000000
+----------------+-----------+-------+-------------------+-------------------+----------------+-----------+-------+-------------------+-------------------+
| w_warehouse_sk | i_item_sk | d_moy | mean              | cov               | w_warehouse_sk | i_item_sk | d_moy | mean              | cov               |
| 1              | 7999      | 1     | 166.25            | 1.792423171084622 | 1              | 7999      | 2     | 375.3333333333333 | 1.008092263550718 |
| 1              | 8319      | 1     | 306.75            | 1.161537804047821 | 1              | 8319      | 2     | 276               | 1.142099638560943 |
| 1              | 8443      | 1     | 327.75            | 1.256718374192724 | 1              | 8443      | 2     | 332.5             | 1.004416725998893 |
| 1              | 8583      | 1     | 319.5             | 1.024108893111539 | 1              | 8583      | 2     | 310.25            | 1.235881377586133 |
| 1              | 8591      | 1     | 398               | 1.147816869204245 | 1              | 8591      | 2     | 355.75            | 1.002447214934897 |
| 1              | 8611      | 1     | 300.5             | 1.519154518414795 | 1              | 8611      | 2     | 243.75            | 1.234212278096043 |
| 1              | 9081      | 1     | 367               | 1.087893214128089 | 1              | 9081      | 2     | 435               | 1.033053077632411 |
| 1              | 9357      | 1     | 351.6666666666667 | 1.190292262202589 | 1              | 9357      | 2     | 427               | 1.043858302635836 |
| 1              | 9449      | 1     | 406.25            | 1.018318310480356 | 1              | 9449      | 2     | 175               | 1.054477979629641 |
| 1              | 9713      | 1     | 242.5             | 1.10350443550642  | 1              | 9713      | 2     | 393               | 1.208474608738988 |
| 1              | 9809      | 1     | 479               | 1.018960251211763 | 1              | 9809      | 2     | 317.5             | 1.061414207492488 |
| 1              | 9993      | 1     | 417.75            | 1.009983267243525 | 1              | 9993      | 2     | 204.5             | 1.552870745350107 |
| 1              | 10127     | 1     | 239.75            | 1.056177058719812 | 1              | 10127     | 2     | 359.25            | 1.185798040374218 |
| 1              | 11159     | 1     | 407.25            | 1.078550715433764 | 1              | 11159     | 2     | 250               | 1.334757905639321 |
| 1              | 11277     | 1     | 211.25            | 1.261585827531663 | 1              | 11277     | 2     | 330.75            | 1.080876795162509 |
| 1              | 11937     | 1     | 344.5             | 1.085804026843784 | 1              | 11937     | 2     | 200.3333333333333 | 1.063852706388372 |
| 1              | 12373     | 1     | 387.75            | 1.101490482294126 | 1              | 12373     | 2     | 306               | 1.076174439039403 |
| 1              | 12471     | 1     | 365.25            | 1.060757018372848 | 1              | 12471     | 2     | 327.25            | 1.054756058056785 |
| 1              | 12625     | 1     | 279               | 1.301656054237321 | 1              | 12625     | 2     | 443.25            | 1.060495883806896 |
| 1              | 12751     | 1     | 280.75            | 1.10833057888089  | 1              | 12751     | 2     | 369.3333333333333 | 1.34165043988846  |
| 1              | 12779     | 1     | 331               | 1.041690207320035 | 1              | 12779     | 2     | 359               | 1.028978056175258 |
| 1              | 13077     | 1     | 367.6666666666667 | 1.345523904195734 | 1              | 13077     | 2     | 358.6666666666667 | 1.513242905809655 |
| 1              | 13191     | 1     | 260.25            | 1.063569632291568 | 1              | 13191     | 2     | 405               | 1.019799917218006 |
| 1              | 13561     | 1     | 335.25            | 1.260961696177639 | 1              | 13561     | 2     | 240               | 1.051360450224516 |
| 1              | 13935     | 1     | 311.75            | 1.039928969541233 | 1              | 13935     | 2     | 275               | 1.036752718032177 |
| 1              | 14687     | 1     | 358               | 1.436935691938171 | 1              | 14687     | 2     | 187               | 1.549363153147496 |
| 1              | 14719     | 1     | 209               | 1.041150963970763 | 1              | 14719     | 2     | 489               | 1.376616882800804 |
| 1              | 15345     | 1     | 148.5             | 1.529578403579402 | 1              | 15345     | 2     | 246.5             | 1.508798774723153 |
| 1              | 15427     | 1     | 482.75            | 1.012423892833504 | 1              | 15427     | 2     | 333.25            | 1.272477012630868 |
| 1              | 15647     | 1     | 201.6666666666667 | 1.285793187609574 | 1              | 15647     | 2     | 249.25            | 1.364817299014216 |
| 1              | 16079     | 1     | 280.5             | 1.244475741612858 | 1              | 16079     | 2     | 361.25            | 1.073780570407872 |
| 1              | 16223     | 1     | 245.6666666666667 | 1.060114895639887 | 1              | 16223     | 2     | 412.6666666666667 | 1.067123107132372 |
| 1              | 16289     | 1     | 171               | 1.087263313842661 | 1              | 16289     | 2     | 316.5             | 1.36953066940712  |
| 1              | 16451     | 1     | 300               | 1.251650761845983 | 1              | 16451     | 2     | 467.5             | 1.296236388185821 |
| 1              | 17051     | 1     | 349.75            | 1.134642381984549 | 1              | 17051     | 2     | 319.75            | 1.037935489743808 |
| 2              | 71        | 1     | 221.5             | 1.563974108334745 | 2              | 71        | 2     | 309               | 1.491705789588568 |
| 2              | 833       | 1     | 363.3333333333333 | 1.042281380218027 | 2              | 833       | 2     | 158.75            | 1.213089173626855 |
| 2              | 969       | 1     | 282               | 1.137434034403719 | 2              | 969       | 2     | 386               | 1.137100118723219 |
| 2              | 1401      | 1     | 249               | 1.320623768915522 | 2              | 1401      | 2     | 296.6666666666667 | 1.286812193174459 |
| 2              | 1681      | 1     | 337.75            | 1.052156598827189 | 2              | 1681      | 2     | 252.75            | 1.03179106854817  |
| 2              | 1991      | 1     | 356               | 1.133679004691988 | 2              | 1991      | 2     | 273.25            | 1.332419641808909 |
| 2              | 2031      | 1     | 407.5             | 1.020987682611039 | 2              | 2031      | 2     | 418.75            | 1.005338863291284 |
| 2              | 2481      | 1     | 319.75            | 1.116026660755801 | 2              | 2481      | 2     | 378.3333333333333 | 1.059718527408464 |
| 2              | 2725      | 1     | 349.75            | 1.114870491806475 | 2              | 2725      | 2     | 265.6666666666667 | 1.546297214847154 |
| 2              | 3073      | 1     | 385               | 1.102084584418913 | 2              | 3073      | 2     | 231.75            | 1.088498906382727 |
| 2              | 3769      | 1     | 334               | 1.19542966145639  | 2              | 3769      | 2     | 335               | 1.049464958250903 |
| 2              | 4085      | 1     | 327.75            | 1.100541387314512 | 2              | 4085      | 2     | 281.75            | 1.018760806480111 |
| 2              | 4995      | 1     | 282.25            | 1.260418332957406 | 2              | 4995      | 2     | 248               | 1.254822901882353 |
| 2              | 5099      | 1     | 418.6666666666667 | 1.068090088797065 | 2              | 5099      | 2     | 428.6666666666667 | 1.035237277800474 |
| 2              | 5211      | 1     | 157               | 1.069551742865467 | 2              | 5211      | 2     | 270.25            | 1.194020080961897 |
| 2              | 5769      | 1     | 341.25            | 1.272313269656374 | 2              | 5769      | 2     | 267               | 1.181579184871904 |
| 2              | 6103      | 1     | 194.3333333333333 | 1.516067017930739 | 2              | 6103      | 2     | 158.5             | 1.274369863616506 |
| 2              | 6243      | 1     | 168.5             | 1.073210810002351 | 2              | 6243      | 2     | 386.75            | 1.083290260548026 |
| 2              | 6489      | 1     | 268               | 1.695637236843227 | 2              | 6489      | 2     | 389               | 1.410578051929977 |
| 2              | 6585      | 1     | 183.75            | 1.115193758131773 | 2              | 6585      | 2     | 353.75            | 1.09397071467533  |
| 2              | 6767      | 1     | 341               | 1.093163984134538 | 2              | 6767      | 2     | 235               | 1.139954385581802 |
| 2              | 7411      | 1     | 460               | 1.062829325514348 | 2              | 7411      | 2     | 297.5             | 1.000576535072398 |
| 2              | 8489      | 1     | 126.75            | 1.341646295852091 | 2              | 8489      | 2     | 398.25            | 1.004112484025215 |
| 2              | 8633      | 1     | 218.5             | 1.464518974017102 | 2              | 8633      | 2     | 230.25            | 1.311696301457662 |
| 2              | 8807      | 1     | 417.25            | 1.025811293001377 | 2              | 8807      | 2     | 356.25            | 1.107973063308923 |
| 2              | 8883      | 1     | 249.25            | 1.111227178221055 | 2              | 8883      | 2     | 189.25            | 1.010075485139798 |
| 2              | 9253      | 1     | 413.3333333333333 | 1.16066599481024  | 2              | 9253      | 2     | 465               | 1.024244582402879 |
| 2              | 9467      | 1     | 108.25            | 1.091122388968745 | 2              | 9467      | 2     | 107               | 1.030922036122443 |
| 2              | 9561      | 1     | 190.5             | 1.030303251337317 | 2              | 9561      | 2     | 271               | 1.2058349535543   |
| 2              | 9575      | 1     | 452.5             | 1.049449222605896 | 2              | 9575      | 2     | 155.75            | 1.153405668564373 |
| 2              | 9903      | 1     | 322.75            | 1.076108006255602 | 2              | 9903      | 2     | 387.3333333333333 | 1.261240677345197 |
| 2              | 10535     | 1     | 324.3333333333333 | 1.057110403509409 | 2              | 10535     | 2     | 310.25            | 1.004063499519034 |
| 2              | 10955     | 1     | 356               | 1.158281331095515 | 2              | 10955     | 2     | 339               | 1.070253213625449 |
| 2              | 12089     | 1     | 212               | 1.082750114573422 | 2              | 12089     | 2     | 173.3333333333333 | 1.073981215332733 |
| 2              | 12633     | 1     | 402.75            | 1.00713620757407  | 2              | 12633     | 2     | 367               | 1.127053563860716 |
| 2              | 12765     | 1     | 308               | 1.118847688270134 | 2              | 12765     | 2     | 347               | 1.15717445902363  |
| 2              | 13077     | 1     | 277               | 1.232336084935215 | 2              | 13077     | 2     | 223.5             | 1.139400344912951 |
| 2              | 13687     | 1     | 361.25            | 1.010734165761086 | 2              | 13687     | 2     | 468.25            | 1.00984291842181  |
| 2              | 14025     | 1     | 371.75            | 1.015013608305002 | 2              | 14025     | 2     | 141               | 1.25431702597462  |
| 2              | 14117     | 1     | 298.5             | 1.025123803474727 | 2              | 14117     | 2     | 220.25            | 1.415268446594118 |
| 2              | 14347     | 1     | 366               | 1.032789294626193 | 2              | 14347     | 2     | 369.75            | 1.018573990019286 |
| 2              | 14697     | 1     | 397.75            | 1.008120541714483 | 2              | 14697     | 2     | 328.75            | 1.160849558029165 |
| 2              | 14987     | 1     | 146.75            | 1.029004064361143 | 2              | 14987     | 2     | 436.5             | 1.044768154179565 |
| 2              | 15321     | 1     | 527               | 1.2102662554654   | 2              | 15321     | 2     | 298.75            | 1.130909840679212 |
| 2              | 15347     | 1     | 243               | 1.22262397963835  | 2              | 15347     | 2     | 310.75            | 1.203658485265593 |
| 2              | 15533     | 1     | 223               | 1.096511132968014 | 2              | 15533     | 2     | 330               | 1.496748848879047 |
| 2              | 15839     | 1     | 353               | 1.506368443754291 | 2              | 15839     | 2     | 255.5             | 1.23623931828941  |
| 2              | 16107     | 1     | 376               | 1.013324630610378 | 2              | 16107     | 2     | 364.75            | 1.068867798377666 |
| 2              | 16749     | 1     | 200               | 1.09447095286566  | 2              | 16749     | 2     | 438.25            | 1.036064661807453 |
| 2              | 17329     | 1     | 321.3333333333333 | 1.309327946765803 | 2              | 17329     | 2     | 490.25            | 1.075658064972234 |
| 2              | 17417     | 1     | 321.75            | 1.130676480383902 | 2              | 17417     | 2     | 534               | 1.001072521679831 |
| 3              | 1049      | 1     | 252.5             | 1.109064110112592 | 3              | 1049      | 2     | 457.25            | 1.023984124924537 |
| 3              | 1415      | 1     | 247.5             | 1.132161778858245 | 3              | 1415      | 2     | 369.75            | 1.095467956288316 |
| 3              | 2199      | 1     | 185.75            | 1.202812557069411 | 3              | 2199      | 2     | 300.75            | 1.076784506492305 |
| 3              | 2403      | 1     | 270.75            | 1.32587056781793  | 3              | 2403      | 2     | 384               | 1.090398718301101 |
| 3              | 2541      | 1     | 364.75            | 1.079213526102894 | 3              | 2541      | 2     | 550.5             | 1.054558887110183 |
| 3              | 2727      | 1     | 303.75            | 1.030164700291085 | 3              | 2727      | 2     | 219.25            | 1.382209183195938 |
| 3              | 3207      | 1     | 383.75            | 1.085458802647791 | 3              | 3207      | 2     | 258.25            | 1.211339248092966 |
| 3              | 3373      | 1     | 404.5             | 1.014337414380688 | 3              | 3373      | 2     | 171.25            | 1.2856653974633   |
| 3              | 3969      | 1     | 234.25            | 1.042283179309031 | 3              | 3969      | 2     | 217.25            | 1.421549065332119 |
| 3              | 4407      | 1     | 438.5             | 1.065666354511398 | 3              | 4407      | 2     | 330.75            | 1.024440396842887 |
| 3              | 6051      | 1     | 289.75            | 1.263888088484336 | 3              | 6051      | 2     | 439               | 1.104576924519274 |
| 3              | 6521      | 1     | 381               | 1.001568291887839 | 3              | 6521      | 2     | 437.75            | 1.036514933265826 |
| 3              | 6691      | 1     | 377               | 1.109073729291752 | 3              | 6691      | 2     | 380.5             | 1.058130125028156 |
| 3              | 6757      | 1     | 282.5             | 1.089500938688411 | 3              | 6757      | 2     | 345.25            | 1.226382874783847 |
| 3              | 6915      | 1     | 420.6666666666667 | 1.046834563490697 | 3              | 6915      | 2     | 292.5             | 1.250617107271612 |
| 3              | 7207      | 1     | 329.6666666666667 | 1.595448216072039 | 3              | 7207      | 2     | 414.5             | 1.017919707908937 |
| 3              | 7889      | 1     | 318.5             | 1.28790300499851  | 3              | 7889      | 2     | 291.3333333333333 | 1.004292532392279 |
| 3              | 8559      | 1     | 356.25            | 1.006519346169563 | 3              | 8559      | 2     | 393.5             | 1.012883165214121 |
| 3              | 8829      | 1     | 364.25            | 1.079285226044687 | 3              | 8829      | 2     | 350.25            | 1.11339122407411  |
| 3              | 9555      | 1     | 377               | 1.130846932891016 | 3              | 9555      | 2     | 444.75            | 1.017158817504232 |
| 3              | 9623      | 1     | 331.3333333333333 | 1.155128927193448 | 3              | 9623      | 2     | 284.6666666666667 | 1.030372442625732 |
| 3              | 9813      | 1     | 343.75            | 1.051695375350883 | 3              | 9813      | 2     | 384.6666666666667 | 1.081500590660485 |
| 3              | 9881      | 1     | 351.5             | 1.178882055415722 | 3              | 9881      | 2     | 287.75            | 1.090938608951078 |
| 3              | 10035     | 1     | 378.25            | 1.021639951179138 | 3              | 10035     | 2     | 364.25            | 1.156792265339806 |
| 3              | 10509     | 1     | 420.25            | 1.054862690127573 | 3              | 10509     | 2     | 368.25            | 1.18206333594731  |
| 3              | 10547     | 1     | 182.3333333333333 | 1.532564151486904 | 3              | 10547     | 2     | 320.25            | 1.302441844373152 |
| 3              | 10743     | 1     | 233.25            | 1.279302235424116 | 3              | 10743     | 2     | 110.25            | 1.107204634127507 |
| 3              | 11477     | 1     | 264.25            | 1.095353000083602 | 3              | 11477     | 2     | 278.5             | 1.03279098170704  |
| 3              | 11959     | 1     | 358               | 1.068483525179298 | 3              | 11959     | 2     | 268.5             | 1.008985679891199 |
| 3              | 12043     | 1     | 169.25            | 1.033093808880221 | 3              | 12043     | 2     | 377.25            | 1.016196249971876 |
| 3              | 12157     | 1     | 326.3333333333333 | 1.002231867055149 | 3              | 12157     | 2     | 396.3333333333333 | 1.028781805040488 |
| 3              | 12433     | 1     | 199.75            | 1.307258924061962 | 3              | 12433     | 2     | 478.5             | 1.016474207194739 |
| 3              | 12867     | 1     | 278.25            | 1.640380012394735 | 3              | 12867     | 2     | 350.75            | 1.20069333217428  |
| 3              | 13499     | 1     | 281               | 1.143196545752119 | 3              | 13499     | 2     | 446.75            | 1.033152026267538 |
| 3              | 14589     | 1     | 266.5             | 1.114324392184496 | 3              | 14589     | 2     | 334.3333333333333 | 1.145314681635012 |
| 3              | 15207     | 1     | 300.25            | 1.484461126375331 | 3              | 15207     | 2     | 564               | 1.000480871253307 |
| 3              | 15395     | 1     | 258.25            | 1.051387689828577 | 3              | 15395     | 2     | 307.5             | 1.138225319310722 |
| 3              | 15973     | 1     | 477.5             | 1.203932592889347 | 3              | 15973     | 2     | 286               | 1.287229424199907 |
| 3              | 16233     | 1     | 260.6666666666667 | 1.120423550056809 | 3              | 16233     | 2     | 210.5             | 1.178814333668552 |
| 3              | 16267     | 1     | 456               | 1.00422634651884  | 3              | 16267     | 2     | 364.3333333333333 | 1.481885542830973 |
| 3              | 16605     | 1     | 394.25            | 1.113741357290604 | 3              | 16605     | 2     | 296.25            | 1.28858926556716  |
| 3              | 16949     | 1     | 155.75            | 1.118617728544994 | 3              | 16949     | 2     | 229.5             | 1.028946919672454 |
| 3              | 17319     | 1     | 364.75            | 1.270936444567402 | 3              | 17319     | 2     | 359.25            | 1.157875143486242 |
| 4              | 947       | 1     | 247.5             | 1.693318181348697 | 4              | 947       | 2     | 203.3333333333333 | 1.205433145161931 |
| 4              | 1895      | 1     | 354.75            | 1.239734154199228 | 4              | 1895      | 2     | 383.75            | 1.089307699214406 |
| 4              | 3429      | 1     | 358.5             | 1.066559335492344 | 4              | 3429      | 2     | 346               | 1.251948930065546 |
| 4              | 4559      | 1     | 215               | 1.243232990043298 | 4              | 4559      | 2     | 360.75            | 1.033354585724731 |
| 4              | 4773      | 1     | 328.25            | 1.050983659296014 | 4              | 4773      | 2     | 330.5             | 1.006258059687721 |
| 4              | 4885      | 1     | 151               | 1.320557035063618 | 4              | 4885      | 2     | 377.25            | 1.048903523788683 |
| 4              | 4915      | 1     | 289.25            | 1.086392949051462 | 4              | 4915      | 2     | 368               | 1.069658554605372 |
| 4              | 5043      | 1     | 476               | 1.015596427648948 | 4              | 5043      | 2     | 244.25            | 1.356289369084929 |
| 4              | 5095      | 1     | 334               | 1.225886129135316 | 4              | 5095      | 2     | 390.25            | 1.062178806333244 |
| 4              | 5193      | 1     | 263.3333333333333 | 1.250170954501139 | 4              | 5193      | 2     | 323               | 1.097961619580283 |
| 4              | 5975      | 1     | 434               | 1.023361445098086 | 4              | 5975      | 2     | 359.75            | 1.197935690008408 |
| 4              | 6251      | 1     | 285               | 1.121538025585264 | 4              | 6251      | 2     | 335.5             | 1.160219252395711 |
| 4              | 6389      | 1     | 280.75            | 1.204923608948784 | 4              | 6389      | 2     | 259.3333333333333 | 1.481655057565929 |
| 4              | 6487      | 1     | 452.75            | 1.071062660221152 | 4              | 6487      | 2     | 350.5             | 1.17164756896522  |
| 4              | 6619      | 1     | 430               | 1.000726255115765 | 4              | 6619      | 2     | 226.25            | 1.548557450713079 |
| 4              | 7191      | 1     | 260.75            | 1.001266683715478 | 4              | 7191      | 2     | 195.25            | 1.537267552006736 |
| 4              | 7427      | 1     | 239.5             | 1.41835671444068  | 4              | 7427      | 2     | 373.25            | 1.042979197676384 |
| 4              | 8453      | 1     | 314.75            | 1.02597149098033  | 4              | 8453      | 2     | 376.75            | 1.009902393166085 |
| 4              | 8781      | 1     | 518.5             | 1.100549995019371 | 4              | 8781      | 2     | 521               | 1.123770469908755 |
| 4              | 9571      | 1     | 314               | 1.216857824298178 | 4              | 9571      | 2     | 309               | 1.089216738940079 |
| 4              | 9587      | 1     | 248               | 1.498188726061234 | 4              | 9587      | 2     | 248               | 1.006498784047592 |
| 4              | 10333     | 1     | 321               | 1.148610706178954 | 4              | 10333     | 2     | 317               | 1.046922631741267 |
| 4              | 10969     | 1     | 186.6666666666667 | 1.104420616413504 | 4              | 10969     | 2     | 307               | 1.109476410573386 |
| 4              | 10993     | 1     | 446               | 1.009237632296559 | 4              | 10993     | 2     | 206.6666666666667 | 1.235533351994911 |
| 4              | 11571     | 1     | 342.5             | 1.142628399354839 | 4              | 11571     | 2     | 304.6666666666667 | 1.031994322465285 |
| 4              | 11979     | 1     | 225.3333333333333 | 1.467065615524709 | 4              | 11979     | 2     | 438.25            | 1.138992699034766 |
| 4              | 13409     | 1     | 312.3333333333333 | 1.342750251265147 | 4              | 13409     | 2     | 336.25            | 1.108197830203369 |
| 4              | 13443     | 1     | 417.75            | 1.021779608223135 | 4              | 13443     | 2     | 334               | 1.307643085296653 |
| 4              | 13567     | 1     | 271.5             | 1.008762162143274 | 4              | 13567     | 2     | 370               | 1.455768606341056 |
| 4              | 13683     | 1     | 318.75            | 1.014982772994617 | 4              | 13683     | 2     | 363.5             | 1.07811545783321  |
| 4              | 14143     | 1     | 367               | 1.044179943893155 | 4              | 14143     | 2     | 290               | 1.193306075412145 |
| 4              | 14401     | 1     | 342.75            | 1.183655903603076 | 4              | 14401     | 2     | 344.25            | 1.206708311627262 |
| 4              | 14693     | 1     | 447.25            | 1.05166749116521  | 4              | 14693     | 2     | 498               | 1.351738264436934 |
| 4              | 14877     | 1     | 414.3333333333333 | 1.170772387793046 | 4              | 14877     | 2     | 282.5             | 1.583058294434686 |
| 4              | 15063     | 1     | 378.25            | 1.112819258816684 | 4              | 15063     | 2     | 444               | 1.063277768820416 |
| 4              | 15275     | 1     | 335.5             | 1.153638293917556 | 4              | 15275     | 2     | 292.6666666666667 | 1.297831368103705 |
| 4              | 15509     | 1     | 296.3333333333333 | 1.024674053658217 | 4              | 15509     | 2     | 317.6666666666667 | 1.447036456507824 |
| 4              | 15969     | 1     | 423               | 1.047287549766522 | 4              | 15969     | 2     | 342.5             | 1.251176937180857 |
| 4              | 16627     | 1     | 485.5             | 1.015146089571624 | 4              | 16627     | 2     | 161.25            | 1.353325272620004 |
| 4              | 16641     | 1     | 521.5             | 1.105066206456445 | 4              | 16641     | 2     | 221.5             | 1.030859051002512 |
| 4              | 16751     | 1     | 549.5             | 1.082214382125362 | 4              | 16751     | 2     | 223.3333333333333 | 1.337789760585954 |
| 5              | 75        | 1     | 333               | 1.265631876284921 | 5              | 75        | 2     | 226               | 1.035807850799258 |
| 5              | 125       | 1     | 441.6666666666667 | 1.095971457377544 | 5              | 125       | 2     | 331.5             | 1.008114828600884 |
| 5              | 431       | 1     | 159               | 1.106179475218104 | 5              | 431       | 2     | 304               | 1.122422537310364 |
| 5              | 671       | 1     | 403.3333333333333 | 1.005601414733414 | 5              | 671       | 2     | 281.3333333333333 | 1.336683522252148 |
| 5              | 745       | 1     | 466.75            | 1.010906552557856 | 5              | 745       | 2     | 351               | 1.114721288168418 |
| 5              | 1701      | 1     | 374               | 1.086445817024878 | 5              | 1701      | 2     | 385               | 1.330630870075054 |
| 5              | 2521      | 1     | 360.75            | 1.099248234149208 | 5              | 2521      | 2     | 265.5             | 1.172407769400672 |
| 5              | 2855      | 1     | 406               | 1.403763708463934 | 5              | 2855      | 2     | 183.25            | 1.066224991023963 |
| 5              | 3137      | 1     | 271.25            | 1.575453220592864 | 5              | 3137      | 2     | 380               | 1.083420338860032 |
| 5              | 3279      | 1     | 299.5             | 1.053669716363755 | 5              | 3279      | 2     | 276.75            | 1.445887809384183 |
| 5              | 3467      | 1     | 294               | 1.147729463871687 | 5              | 3467      | 2     | 349.6666666666667 | 1.167422369281881 |
| 5              | 4463      | 1     | 338               | 1.069932008148143 | 5              | 4463      | 2     | 273.5             | 1.236979732183568 |
| 5              | 4719      | 1     | 340.5             | 1.057185780180554 | 5              | 4719      | 2     | 423.6666666666667 | 1.025500020671349 |
| 5              | 4739      | 1     | 281.3333333333333 | 1.024297151432503 | 5              | 4739      | 2     | 383.5             | 1.033433739018982 |
